Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,release_year
Sturgill Simpson,All Around You,47.0,0.312,0.562,9.0,-6.495,1,0.0298,0.123,0.136,0.514,185.725,215693.0,3,2020
P!nk,All I Know So Far,78.0,0.578,0.639,4.0,-5.749,1,0.0374,0.0586,0.0944,0.296,108.045,277413.0,4,2021
Robin Schulz,All This Love (feat. Harl≈ì),58.0,0.659,0.789,2.0,-4.505,0,0.0506,0.00943,0.175,0.475,123.971,201290.0,4,2020
Embrace,All You Good Good People,48.0,0.232,0.719,11.0,-6.255,1,0.0428,0.000118,0.119,0.323,165.906,366267.0,4,1997
Boxout,ALMA,31.0,0.354,0.777,4.0,-6.648,1,0.06,0.0553,0.38,0.393,200.139,206400.0,4,2021
Moonspell,Alma Mater,45.0,0.235,0.867,9.0,-6.408,0,0.0647,0.000133,0.0758,0.305,142.939,337307.0,3,1995
Parquet Courts,Almost Had to Start a Fight/In and Out of Patience,48.0,0.409,0.93,7.0,-3.293,1,0.191,0.103,0.863,0.789,92.648,194693.0,4,2018
Sunnyboys,Alone with You - 2014 Remaster,51.0,0.361,0.937,4.0,-3.179,0,0.0463,6.19E-05,0.27,0.393,147.546,238960.0,4,1981
Saint Jude,Altitude,28.0,0.539,0.836,6.0,-5.664,0,0.0366,0.00363,0.329,0.261,109.964,210446.0,4,2020
Lonestar,Amazed,61.0,0.557,0.553,1.0,-7.954,1,0.0319,0.247,0.125,0.253,139.821,399978.3,4,1999
Editors,An End Has A Start,54.0,0.349,0.923,6.0,-2.432,0,0.0539,1.95E-05,0.336,0.535,149.904,225533.0,4,2007
The Bravery,An Honest Mistake,57.0,0.46,0.889,2.0,-4.281,0,0.0294,3.21E-06,0.121,0.639,140.038,219707.0,4,2005
The Pretty Reckless,And So It Went [Feat. Tom Morello],55.0,0.471,0.9,8.0,-2.283,0,0.0832,0.0148,0.082,0.362,91.318,270215.0,4,2020
The Replacements,Androgynous,54.0,0.476,0.361,11.0,-9.312,1,0.0287,0.518,0.0817,0.389,106.484,190853.0,4,1984
jxdn,Angels & Demons,75.0,0.554,0.8,8.0,-3.936,1,0.0395,0.119,0.629,0.463,115.056,160120.0,4,2020
Kida Kudz,Animalistic,48.0,0.85,0.669,9.0,-8.277,0,0.121,0.0464,0.0539,0.705,99.981,166812.0,4,2021
Softcult,Another Bish,39.0,0.556,0.541,4.0,-6.018,1,0.0292,0.00476,0.128,0.553,96.531,175421.0,4,2021
Queen,Another One Bites The Dust - Remastered 2011,82.0,0.933,0.528,5.0,-6.472,0,0.161,0.112,0.163,0.754,109.967,214653.0,4,1980
Josiah and the Bonnevilles,Appalachia,38.0,0.419,0.662,2.0,-6.976,1,0.0296,0.172,0.211,0.594,83.906,252813.0,4,2018
The Delta Saints,Are You,31.0,0.43,0.852,9.0,-7.303,0,0.0309,0.0068,0.137,0.509,93.375,220467.0,4,2018
Robert Michaels,Armando's Market,43.0,0.788,0.366,9.0,-11.238,0,0.0665,0.801,0.479,0.671,101.991,442221.7,4,2000
The Paper Kites,Arms,60.0,0.41,0.141,2.0,-18.564,1,0.0337,0.931,0.118,0.239,149.884,339266.7,4,2010
Man,Back into the Future,26.0,0.46,0.816,5.0,-6.918,1,0.0296,0.234,0.0783,0.33,130.713,246080.0,4,2020
Pretenders,Back on the Chain Gang - 2007 Remaster,65.0,0.598,0.901,2.0,-6.081,1,0.0359,0.116,0.178,0.814,153.24,385200.0,4,1982
Kendrick Lamar,Backseat Freestyle,58.0,0.546,0.651,1.0,-7.601,1,0.3,0.000739,0.235,0.646,77.878,212653.0,4,2012
Cj Pandit,Bad Bad Fun,34.0,0.582,0.693,1.0,-9.256,1,0.0278,0.131,0.115,0.582,106.999,208444.0,4,2022
Nyck Caution,Bad Day (feat. Denzel Curry),49.0,0.749,0.783,1.0,-3.965,1,0.3,0.142,0.237,0.73,140.012,154947.0,4,2021
The Hunna,Bad Place,56.0,0.648,0.564,9.0,-3.972,1,0.0322,0.216,0.0854,0.357,132.932,139729.0,4,2020
Jace Everett,Bad Things,49.0,0.591,0.864,4.0,-4.706,0,0.0399,0.0446,0.279,0.728,131.006,164440.0,4,2005
Half Your Love,Bahamas,59.0,0.73,0.249,9.0,-9.888,0,0.0344,0.886,0.096,0.332,132.007,240311.7,4,2020
Biffy Clyro,"Balance, Not Symmetry - From the Original Motion Picture Soundtrack 'Balance, Not Symmetry'",35.0,0.545,0.834,1.0,-3.255,0,0.0385,6.46E-05,0.125,0.676,156.884,181537.0,3,2019
Nina Simone,Baltimore,64.0,0.638,0.28,9.0,-16.516,1,0.0673,0.417,0.0611,0.734,154.955,278867.0,4,1978
Kink Gong,Bamboo Chicken,9.0,0.248,0.491,5.0,-15.27,0,0.0954,0.277,0.424,0.481,172.917,253455.0,4,2017
Conkarah,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,72.0,0.824,0.854,8.0,-5.312,1,0.177,0.016,0.117,0.896,95.114,210329.0,4,2020
Dirty Pretty Things,Bang Bang You're Dead,41.0,0.359,0.802,5.0,-2.945,1,0.0528,0.00687,0.398,0.433,152.481,212200.0,4,2018
Prince,Batdance,46.0,0.594,0.702,1.0,-9.894,1,0.0842,0.168,0.142,0.466,135.406,622888.3,4,1989
Dean Lewis,Be Alright,81.0,0.553,0.586,11.0,-6.319,1,0.0362,0.697,0.0813,0.443,126.684,196373.0,4,2018
Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),91.0,0.713,0.676,10.0,-5.483,1,0.027,0.0377,0.154,0.721,99.048,227395.0,4,2021
Lenny Kravitz,Believe,50.0,0.73,0.65,5.0,-8.142,0,0.0354,0.00243,0.0445,0.748,120.038,280973.0,4,1993
The Bravery,Believe,58.0,0.385,0.949,8.0,-3.369,1,0.0459,0.00501,0.113,0.517,166.137,226347.0,4,2007
Alan Walker,Believers,73.0,0.649,0.69,8.0,-5.384,0,0.0296,0.0247,0.161,0.593,104.04,159078.0,4,2021
Baird,Beluga v2 (feat. Berhana),52.0,0.719,0.715,4.0,-6.549,0,0.0758,0.0849,0.142,0.393,87.922,155455.0,4,2022
What A Day - Edit,Ben Howard,20.0,0.663,0.434,7.0,-9.03,1,0.0278,0.539,0.0906,0.593,136.018,429621.7,4,2021
Pretty Sick,Bet My Blood,1.0,0.423,0.984,9.0,-4.261,0,0.1,2.29E-05,0.321,0.199,103.218,179785.0,4,2020
Gizelle Smith,Better Remember (They're Controlling You),20.0,0.572,0.633,11.0,-8.247,0,0.0603,0.16,0.182,0.706,92.052,338750.0,4,2021
Jamey Johnson,Between Jennings And Jones,55.0,0.544,0.621,2.0,-8.131,1,0.0397,0.0442,0.28,0.382,146.798,251960.0,3,2006
Joel Veena,Bhim,16.0,0.44,0.698,7.0,-5.175,1,0.0354,0.787,0.12,0.29,176.033,463636.7,4,2021
Fontaines D.C.,Big,45.0,0.5,0.947,4.0,-3.602,1,0.0452,0.044,0.205,0.966,181.834,105516.0,4,2019
Everything Everything,Big Climb,41.0,0.656,0.599,2.0,-8.314,1,0.0684,0.00966,0.0681,0.301,104.998,234067.0,4,2020
Phoenix (feat. Fleet Foxes & Anaïs Mitchell),"Big Red Machine, Fleet Foxes, Anaïs Mitchell",63.0,0.482,0.671,5.0,-7.135,1,0.0412,0.454,0.0791,0.547,137.836,425888.3,4,2021
Spare Parts For Broken Hearts,Big Win,24.0,0.491,0.71,7.0,-9.06,1,0.0307,0.000981,0.228,0.418,122.003,205687.0,4,2020
Chris Cornell,Billie Jean,55.0,0.52,0.619,4.0,-4.85,0,0.0427,0.591,0.121,0.367,137.882,281373.0,3,2007
FEVER 333,BITE BACK,50.0,0.545,0.998,8.0,-3.645,1,0.234,0.0192,0.877,0.142,129.992,190657.0,4,2020
Catholic Action,Black & White,26.0,0.49,0.784,1.0,-8.057,0,0.0531,0.0235,0.189,0.58,132.549,210238.0,4,2017
Death Hawks,Black Acid,40.0,0.535,0.561,4.0,-12.346,0,0.0372,0.309,0.104,0.137,118.912,546640.0,4,2015
Reignwolf,Black and Red,54.0,0.368,0.921,8.0,-4.897,0,0.0919,0.000716,0.295,0.451,119.113,219523.0,3,2013
AVIV,Black Coffee,48.0,0.639,0.664,2.0,-8.346,1,0.0257,0.0091,0.545,0.699,132.01,144392.0,4,2022
Beach Bunny,Blame Game,56.0,0.364,0.719,7.0,-5.567,1,0.0439,0.0551,0.0824,0.352,97.5,214924.0,4,2021
The Weeknd,Blinding Lights,94.0,0.514,0.73,1.0,-5.934,1,0.0598,0.00146,0.0897,0.334,171.005,200040.0,4,2019
Cane Hill,Blood & Honey,47.0,0.462,0.973,11.0,-3.878,1,0.102,0.00333,0.0563,0.111,109.548,197260.0,4,2016
Lost Society,Blood On Your Hands,36.0,0.49,0.94,10.0,-6.47,0,0.0825,7E-06,0.0917,0.299,94.652,234578.0,4,2014
"Julian Dash, Jay McShann, Eugene Ramey, Gus Johnson, Jr., Buddy Tate",Blue and Sentimental,40.0,0.484,0.0291,10.0,-23.363,1,0.0459,0.961,0.115,0.379,98.434,649821.7,4,1952
Shire T,Blue Kiss,44.0,0.633,0.969,7.0,-6.112,1,0.0581,0.0113,0.123,0.603,138.946,255760.0,4,2021
The White Stripes,Blue Orchid,65.0,0.481,0.645,10.0,-8.535,0,0.318,0.0863,0.332,0.612,151.307,157560.0,4,2005
Tora Tora,Blue Tommorrow,20.0,0.626,0.609,4.0,-12.226,0,0.0371,0.00803,0.108,0.346,123.681,260120.0,4,1992
Joe Bonamassa,Blues Deluxe,53.0,0.499,0.366,5.0,-9.566,1,0.0441,0.0108,0.0851,0.418,144.563,440200.0,3,2003
The Dandy Warhols,Bohemian Like You,68.0,0.584,0.931,9.0,-6.158,1,0.0344,0.00315,0.133,0.694,131.275,211707.0,4,2000
Brigitte Bardot,Bonnie And Clyde,26.0,0.471,0.632,2.0,-11.844,0,0.0568,0.0896,0.261,0.582,97.239,253573.0,4,2018
John Lee Hooker,Boogie Chillun,36.0,0.622,0.417,4.0,-11.793,1,0.299,0.42,0.0785,0.597,158.103,158053.0,4,1948
Briston Maroney,Bottle Rocket,54.0,0.583,0.931,11.0,-4.975,0,0.125,0.0174,0.405,0.319,127.034,190360.0,4,2018
Dua Lipa,Break My Heart,82.0,0.73,0.729,4.0,-3.434,0,0.0883,0.167,0.349,0.467,113.013,221820.0,4,2020
alt-J,Breezeblocks,73.0,0.611,0.643,5.0,-7.372,1,0.037,0.117,0.131,0.258,74.991,227080.0,4,2012
P√©pe,Bridging Mechanics,39.0,0.469,0.669,2.0,-9.473,1,0.0494,0.0385,0.0981,0.245,132.005,358282.0,4,2020
The Police,Bring On The Night,55.0,0.727,0.627,2.0,-11.7,1,0.0633,0.0566,0.0779,0.773,109.603,255213.0,4,1979
Shannon Shaw,Broke My Own,35.0,0.492,0.736,9.0,-5.134,0,0.0318,0.00376,0.128,0.555,122.442,179387.0,4,2020
Cage The Elephant,Broken Boy (feat. Iggy Pop),51.0,0.492,0.939,6.0,-3.501,0,0.118,0.00247,0.131,0.484,166.03,163208.0,4,2020
Spank Rock,Bump - Switch Remix,16.0,0.777,0.693,1.0,-10.473,1,0.439,0.246,0.249,0.485,126.005,447000.0,4,2006
grandson,Bury Me Face Down,63.0,0.39,0.629,1.0,-4.876,0,0.0469,0.0187,0.0658,0.162,141.983,231667.0,4,2016
"MAX, Ali Gatie",Butterflies,73.0,0.7,0.613,11.0,-4.041,1,0.0408,0.385,0.0887,0.42,88.084,318750.0,4,2021
Routine,Cady Road,43.0,0.498,0.731,2.0,-7.25,1,0.0243,0.128,0.156,0.6,97.055,190696.0,4,2020
JDM Global,Cake,20.0,0.727,0.801,10.0,-6.562,1,0.0307,0.251,0.0838,0.928,121.032,167603.0,4,2022
YONAKA,Call Me a Saint,56.0,0.503,0.685,9.0,-6.48,0,0.0423,0.0421,0.0674,0.508,146.997,200067.0,4,2020
Tedeschi Trucks Band,Calling Out To You,44.0,0.597,0.118,6.0,-13.908,1,0.0358,0.964,0.112,0.316,102.067,226160.0,4,2019
spill tab,Calvaire,52.0,0.771,0.468,1.0,-6.015,1,0.0539,0.428,0.11,0.554,123.727,117499.0,4,2020
Deema,CAN I?,43.0,0.89,0.817,7.0,-6.495,1,0.143,0.144,0.045,0.755,106.01,165748.0,4,2021
Mothica,Can You Feel My Heart (Mothica Version),58.0,0.538,0.802,2.0,-6.021,1,0.0649,0.0222,0.433,0.149,140.026,141550.0,4,2020
FIDLAR,Can‚Äôt You See,44.0,0.562,0.884,2.0,-4.003,1,0.157,0.00979,0.115,0.912,169.967,178438.0,4,2018
Ed Sheeran,Candle In The Wind - 2018 Version,61.0,0.549,0.449,4.0,-10.479,1,0.0455,0.732,0.117,0.506,76.028,331295.0,5,2018
Solomon Davis,Cape Verde,45.0,0.65,0.0963,9.0,-16.824,1,0.0577,0.951,0.101,0.189,119.448,253333.3,3,2020
pizzagirl,car freshener aftershave,36.0,0.603,0.724,7.0,-6.843,1,0.0265,0.00135,0.184,0.387,129.984,243868.0,4,2020
Arlo Parks,Caroline,60.0,0.596,0.576,10.0,-7.955,1,0.0388,0.376,0.107,0.485,160.176,216933.0,4,2020
fun.,Carry On,58.0,0.388,0.694,5.0,-5.769,1,0.0735,0.118,0.082,0.365,145.434,278373.0,5,2012
Galleons,Casablanca,38.0,0.434,0.908,7.0,-3.387,1,0.0664,0.000124,0.0842,0.559,152.022,236472.0,4,2020
TTNG,Cat Fantastic,41.0,0.521,0.803,9.0,-6.264,1,0.0387,0.0528,0.254,0.698,127.894,293987.0,4,2020
Dua Saleh,cat scratch,40.0,0.406,0.484,7.0,-9.195,1,0.101,0.503,0.652,0.265,75.067,119261.0,4,2022
"Jimmy ""Duck"" Holmes",Catfish Blues,39.0,0.665,0.47,2.0,-8.498,1,0.0376,0.444,0.116,0.581,87.97,251528.0,4,2019
B.B. King,Chains And Things,58.0,0.56,0.241,4.0,-15.385,0,0.0314,0.593,0.122,0.341,79.537,293733.0,4,1970
Celestial Teapot,Change Is Constant,16.0,0.381,0.404,7.0,-12.227,1,0.0324,0.314,0.112,0.0739,108.029,404696.0,4,2019
NOVACUB,Change Your Mind,37.0,0.372,0.94,4.0,-3.586,0,0.14,0.00178,0.154,0.49,163.099,201543.0,4,2020
Dust Bolt,Chaos Possession,23.0,0.209,0.979,8.0,-3.594,1,0.0774,4.52E-05,0.317,0.517,139.775,233665.0,4,2012
Sam Tompkins,Charlie,49.0,0.786,0.321,2.0,-8.452,1,0.0807,0.711,0.114,0.658,87.99,201818.0,4,2023
Foo Fighters,Chasing Birds,56.0,0.62,0.532,2.0,-7.297,1,0.023,0.0392,0.112,0.369,143.993,252293.0,4,2021
Snow Patrol,Chasing Cars,70.0,0.56,0.595,9.0,-4.53,1,0.0274,0.199,0.132,0.144,104.011,267960.0,4,2006
The Runaways,Cherry Bomb,68.0,0.501,0.813,11.0,-8.192,1,0.0639,0.0455,0.131,0.495,136.59,138707.0,4,1976
Lords Of The Underground,Chief Rocka,59.0,0.89,0.716,1.0,-9.673,1,0.296,0.174,0.0657,0.656,99.987,247400.0,4,1993
Jets To Brazil,Chinatown,45.0,0.443,0.415,9.0,-8.808,1,0.0294,0.00464,0.125,0.239,122.522,335933.0,4,2000
Mahesh Raghvan,Chinnanchiru Kiliye,22.0,0.488,0.55,9.0,-11.406,0,0.0359,0.0241,0.129,0.125,181.99,329141.7,3,2022
Kenny Burrell,Chitlins Con Carne,54.0,0.803,0.335,8.0,-13.331,1,0.0451,0.579,0.0849,0.786,132.682,330440.0,4,1963
WurlD,CHOP N PRAY,43.0,0.599,0.654,2.0,-5.008,1,0.0717,0.361,0.227,0.327,97.943,179080.0,4,2020
If I Could Only Fly,"Ciaran Lavery, Joshua Burnside",40.0,0.533,0.138,5.0,-15.481,1,0.0356,0.824,0.459,0.127,92.35,449166.7,4,2018
Britney Spears,Circus,75.0,0.791,0.733,6.0,-5.215,0,0.052,0.147,0.0713,0.761,114.98,320600.0,4,2008
Marc Barreca,City Of Red Sand,25.0,0.163,0.198,7.0,-20.693,0,0.0359,0.899,0.108,0.0867,82.968,403980.0,3,1991
"Invent, Animate",Cloud Cascade,41.0,0.486,0.961,5.0,-4.234,0,0.0831,0.00022,0.0904,0.219,116.024,249078.0,4,2020
Bryan Adams,Cloud Number Nine,50.0,0.59,0.72,2.0,-7.127,1,0.0263,0.0641,0.183,0.617,109.644,225573.0,4,1999
Moon Fever,Cocaine,45.0,0.48,0.879,11.0,-4.67,0,0.0933,8.87E-05,0.0828,0.289,141.063,143400.0,4,2018
Nailbomb,Cockroaches,43.0,0.221,0.861,7.0,-10.138,1,0.0678,0.000174,0.345,0.289,186.416,310493.0,4,1994
Novocaine,Codeine,24.0,0.333,0.88,4.0,-7.791,1,0.065,0.0023,0.127,0.266,168.138,283250.0,4,2019
Mississippi John Hurt,Coffee Blues,43.0,0.611,0.0785,9.0,-20.543,1,0.0503,0.964,0.0903,0.763,104.233,227733.0,4,1928
Albert Collins,"Cold, Cold Feeling",55.0,0.713,0.281,3.0,-11.057,0,0.0379,0.137,0.111,0.397,148.301,318840.0,3,1960
Peter Netz,Come Join Me For A Coffee,24.0,0.667,0.103,9.0,-16.431,1,0.0654,0.973,0.0915,0.364,61.758,307351.7,4,2022
Matt Nathanson,Come On Get Higher,71.0,0.672,0.623,9.0,-5.699,1,0.0297,0.241,0.0848,0.617,92.018,215173.0,4,2003
Ritchie Valens,"Come On, Let's Go",55.0,0.616,0.724,9.0,-8.101,1,0.042,0.788,0.128,0.809,81.402,207645.0,3,1958
Avril Lavigne,Complicated,78.0,0.585,0.776,5.0,-5.898,1,0.0459,0.0572,0.3,0.427,77.987,244507.0,4,2002
Tim Atlas,Compromised,47.0,0.957,0.425,11.0,-8.002,0,0.0538,0.164,0.0656,0.961,108.971,226235.0,4,2018
Ayreon,Computer Eyes,42.0,0.501,0.69,4.0,-7.635,0,0.0314,0.00572,0.16,0.0492,96.988,436973.0,4,1996
Mannequin Pussy,Control,47.0,0.354,0.877,11.0,-4.817,1,0.065,0.00501,0.348,0.388,129.879,195130.0,4,2019
Puddle Of Mudd,Control,65.0,0.444,0.913,6.0,-3.452,1,0.0992,0.00308,0.38,0.569,163.689,230067.0,4,2001
La Femme,Cool Colorado,54.0,0.505,0.762,9.0,-7.15,1,0.0454,0.0415,0.117,0.477,81.454,232480.0,4,2021
Robben Ford,Cotton Candy,17.0,0.843,0.631,5.0,-6.176,0,0.0548,0.0401,0.125,0.894,125.024,235392.0,4,2021
YUNGBLUD,cotton candy,8.0,0.624,0.451,2.0,-5.397,1,0.0303,0.394,0.071,0.551,119.971,129256.0,4,2020
Jake Bugg,Country Song,41.0,0.414,0.172,9.0,-13.849,1,0.0323,0.969,0.115,0.386,89.176,109800.0,3,2012
Joe Bonamassa,Cradle Rock,44.0,0.411,0.91,2.0,-4.867,1,0.0392,0.000243,0.0931,0.613,106.675,230027.0,4,2005
Courting,Crass,35.0,0.434,0.837,6.0,-6.69,1,0.149,0.00598,0.0895,0.843,131.906,173760.0,4,2022
Ozzy Osbourne,Crazy Train - 2002 Version,30.0,0.468,0.932,9.0,-2.599,1,0.0621,0.00756,0.309,0.571,137.683,289893.0,4,1980
mxmtoon,creep,59.0,0.699,0.461,11.0,-8.382,1,0.0313,0.664,0.0872,0.0703,103.989,210600.0,4,2019
Jon Batiste,CRY,52.0,0.738,0.507,9.0,-6.991,0,0.0272,0.229,0.0724,0.7,80.015,237244.0,4,2021
Adrenaline Mob,Crystal Clear,36.0,0.509,0.935,7.0,-4.159,0,0.0434,0.0317,0.101,0.627,171.967,303453.0,4,2013
Steven Neevs,Cycles,19.0,0.41,0.991,5.0,-4.074,0,0.088,8.72E-05,0.0712,0.104,104.929,250317.0,4,2020
LCD Soundsystem,Daft Punk Is Playing at My House,60.0,0.92,0.914,7.0,-4.555,1,0.0444,0.0222,0.114,0.974,135.923,314557.0,4,2005
Helena,Damien Jurado,44.0,0.543,0.326,7.0,-13.847,1,0.0649,0.524,0.12,0.783,79.263,278621.7,4,2016
The Night Monitor,Dance of the Mince Pie Martians,36.0,0.535,0.829,5.0,-9.188,0,0.0332,0.65,0.373,0.377,93.941,254955.0,4,2020
Eddie Berman,Dancing in the Dark,57.0,0.463,0.153,2.0,-14.082,1,0.0385,0.903,0.152,0.254,73.506,398555.0,4,2021
Helstar,Dark Incarnation (Mother of the Night),20.0,0.319,0.945,4.0,-5.512,0,0.0677,0.000128,0.381,0.104,124.944,372333.0,4,2022
RVNT,Dead and Gone,26.0,0.466,0.953,3.0,-5.522,0,0.108,0.000663,0.562,0.39,105.042,177568.0,4,2018
Muddy Waters,Dealin' With the Devil,36.0,0.365,0.713,2.0,-6.984,1,0.114,0.597,0.971,0.324,82.434,470413.0,4,1973
Ibeyi,Deathless,39.0,0.771,0.629,2.0,-7.155,1,0.157,0.0392,0.0686,0.288,148.032,191427.0,4,2017
Peter Murphy,Deep Ocean Vast Sea,36.0,0.623,0.614,11.0,-12.875,0,0.0317,0.00344,0.279,0.803,119.548,249773.0,4,1990
Rob Zombie,Demon Speeding,54.0,0.549,0.81,11.0,-4.001,0,0.0328,0.000298,0.156,0.41,133.985,224307.0,4,2001
347aidan,Demons and Monsters,69.0,0.777,0.32,9.0,-11.824,0,0.0847,0.927,0.256,0.407,80.992,197902.0,4,2021
"StarBoi3, Doja Cat",Dick (feat. Doja Cat),84.0,0.647,0.608,9.0,-6.831,1,0.42,0.13,0.0584,0.474,125.994,292063.3,4,2021
Gordi,Dino's,40.0,0.591,0.745,7.0,-4.921,1,0.0405,0.0111,0.134,0.334,130.985,191282.0,4,2020
Gordi,Dino's,40.0,0.591,0.745,7.0,-4.921,1,0.0405,0.0111,0.134,0.334,130.985,191282.0,4,2020
Steely Dan,Dirty Work,69.0,0.631,0.354,1.0,-11.112,1,0.0313,0.795,0.0879,0.522,73.007,188693.0,4,1972
Little Feat,Dixie Chicken - Live,30.0,0.488,0.674,9.0,-8.366,1,0.0497,0.225,0.728,0.724,146.566,533667.0,4,1977
Sea Girls,Do You Really Wanna Know?,49.0,0.661,0.658,4.0,-5.859,1,0.0402,0.00302,0.862,0.813,119.978,178600.0,4,2020
Joan Jett & The Blackhearts,Do You Wanna Touch Me (Oh Yeah),54.0,0.572,0.836,11.0,-3.159,1,0.0867,0.0247,0.159,0.726,127.667,226520.0,4,1981
Antonio Amaya,Doce cascabeles,13.0,0.413,0.491,10.0,-8.164,1,0.0423,0.93,0.23,0.771,106.825,192120.0,4,1954
Jade Bird,Does Anybody Know,54.0,0.778,0.145,10.0,-11.95,0,0.0503,0.892,0.126,0.24,109.071,346560.0,4,2021
Argonaut & Wasp,Dog Days,43.0,0.78,0.653,2.0,-7.085,1,0.0311,0.42,0.0997,0.527,116.008,215293.0,4,2021
Skepta,Doin' It Again,39.0,0.774,0.727,1.0,-7.753,1,0.267,0.00692,0.17,0.847,138.117,229680.0,4,2020
Baby Queen,Dover Beach,53.0,0.581,0.831,1.0,-5.484,1,0.057,0.0814,0.078,0.665,99.913,218053.0,4,2021
The Gap,Down,14.0,0.565,0.572,5.0,-11.274,0,0.0418,0.0611,0.101,0.367,140.013,271693.0,4,2019
Thundercat,Dragonball Durag,68.0,0.648,0.59,2.0,-9.664,1,0.0942,0.697,0.111,0.401,81.045,181922.0,4,2020
The Coral,Dreaming of You,65.0,0.441,0.684,9.0,-7.495,0,0.031,0.374,0.108,0.971,199.001,141000.0,4,2002
Rammstein,Du riechst so gut,62.0,0.67,0.755,3.0,-7.416,1,0.031,0.000358,0.344,0.813,111.984,289267.0,4,1995
Blood Cultures,Dunk on Me,22.0,0.436,0.449,6.0,-8.255,1,0.0355,0.363,0.249,0.0787,90.104,174933.0,4,2005
Pit Pony,Dutch Courage,25.0,0.117,0.916,1.0,-3.281,1,0.0723,1.39E-05,0.219,0.423,151.886,270205.0,4,2020
Varetta Dillard,"Easy, Easy Baby",35.0,0.785,0.363,10.0,-8.018,1,0.0356,0.635,0.0537,0.682,118.587,158640.0,4,1959
"Darshan Raval, Rochak Kohli",Ek Ladki Ko Dekha Toh Aisa Laga,32.0,0.537,0.604,10.0,-7.576,1,0.054,0.757,0.322,0.41,173.915,258620.0,4,2019
Juanito Valderrama,El Emigrante (Bolero Flamenco),36.0,0.494,0.116,4.0,-15.359,0,0.0451,0.993,0.195,0.45,118.569,181293.0,4,1949
Drugstore,El President,41.0,0.391,0.63,8.0,-5.685,1,0.0308,0.00326,0.0991,0.242,147.587,171400.0,4,1998
Black Peaks,Electric Fires,27.0,0.31,0.989,7.0,-3.876,1,0.104,0.000607,0.328,0.146,181.958,201718.0,3,2018
